@relation 'HVAC (Dummy Data) (1)-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NumericToBinary-R11-weka.filters.unsupervised.attribute.NumericToBinary-R11-weka.filters.unsupervised.attribute.NumericToNominal-R11'

@attribute T_Supply numeric
@attribute T_Return numeric
@attribute SP_Return numeric
@attribute T_Saturation numeric
@attribute T_Outdoor numeric
@attribute RH_Supply numeric
@attribute RH_Return numeric
@attribute RH_Outdoor numeric
@attribute Energy numeric
@attribute Power numeric
@attribute Maintanance_Needs {0,1}

@data
19.205,22.719999,21.5,18,21.799999,38.259998,23.98,47,10,4.461,0
19.219999,19.615,20.5,19.48,11.1,38.989998,29.279999,56,12,4.785,1
19.225,19.615,20.5,19.52,10.1,39.02,29.309999,52.5,8,4.908,1
19.225,22.719999,21.5,17.459999,16.700001,38.619999,24.219999,48.5,9,5.271,0
19.23,22.25,21.5,16.82,18.799999,38.040001,25.019999,41,9,5.113,0
19.254999,22.209999,21.5,17.68,17.9,38.049999,25.25,42.5,11,4.274,1
19.26,19.625,20.5,19.559999,10.1,39.07,29.369999,49,9,4.819,0
19.264999,19.654999,20.5,19.559999,10.1,39.110001,29.309999,50.5,12,4.942,1
19.27,19.674999,20.5,19.559999,10.1,39.129997,29.279999,52,8,4.764,0
19.289999,22.26,21.5,17.039999,19.799999,37.389999,24.779999,41,10,4.417,1
19.295,19.705,20.5,19.58,10.1,39.169998,29.24,50.5,11,4.881,1
19.299999,19.754999,20.5,19.639999,11.1,39.27,29.17,52,11,4.827,1
19.299999,19.715,20.5,19.639999,10.1,39.209999,29.279999,49,10,4.734,1
19.309999,19.734999,20.5,19.639999,10.1,39.209999,29.209999,50.5,9,4.967,0
19.334999,22.719999,21.5,18,19.799999,38.619999,24.15,47,12,4.033,1
19.34,19.775,20.5,19.699999,11.1,39.259998,29.15,52.5,12,4.988,0
19.344999,19.814999,20.5,19.699999,11.1,39.27,29.049999,53,8,4.76,1
19.344999,20.52,21.5,19.039999,14.7,39.579998,27.019999,54,8,4.024,1
19.355,19.83,20.5,19.74,11.1,39.290001,29.029999,53,10,4.201,1
19.375,22.6,21.5,18.059999,18.799999,36.529999,22.99,38,9,4.543,0
19.389999,19.855,20.5,19.779999,11.1,39.27,28.91,53,9,5.065,0
19.404999,19.875,20.5,19.799999,11.1,39.239998,28.799999,47.5,11,4.248,1
19.42,19.92,20.5,19.4,13.7,39.599998,28.039999,57,9,4.326,1
19.42,19.9,20.5,19.4,13.7,39.599998,28.15,57,10,4.403,1
19.43,19.955,20.5,19.42,13.7,39.399998,27.93,57,11,5.096,0
19.439999,19.904999,20.5,19.84,11.1,39.219997,28.68,42,12,5.357,0
19.449999,20.289999,20.5,19.279999,14.7,39.079998,27.599998,55.5,12,5.475,0
19.459999,22.33,21.5,18.199999,21.9,37.149998,24.299999,39.5,12,5.305,1
19.48,19.945,20.5,19.859999,12.1,39.139999,28.529999,40.5,8,4.073,1
19.494999,19.975,20.5,19.879999,12.1,39.079998,28.369999,39,10,5.461,1
19.5,19.994999,20.5,19.92,13.1,39.049999,28.16,35.5,9,4.664,0
19.51,20.014999,20.5,19.939999,13.1,38.950001,28.01,32,11,5.111,1
19.51,20.15,20.5,19.42,14.7,39.110001,27.699999,57,11,4.302,1
19.52,19.949999,20.5,19.539999,13.7,39.02,28.09,57,12,4.478,1
19.525,20.035,20.5,20.02,13.1,38.889999,27.65,33,8,4.347,0
19.529999,22.66,21.5,17.779999,15.7,37.899998,24.279999,50,8,4.381,1
19.535,20.074999,20.5,20.02,13.1,38.75,27.41,34,12,5.408,1
19.539999,20.059999,20.5,19.52,14.7,39.02,27.769999,57,10,5.478,0
19.539999,20.004999,20.5,19.619999,14.7,39.02,27.93,57,8,4.181,0
19.545,20.1,20.5,20.08,13.1,38.629997,27.059999,36.5,9,5.423,1
19.549999,20.125,20.5,20.1,14.1,38.529999,26.67,39,10,4.725,0
19.57,20.154999,20.5,20.119999,14.1,38.34,26.359999,36.5,10,4.095,1
19.57,22.25,21.5,18.1,21.9,36.619999,24.41,41,8,4.091,0
19.57,22.5,21.5,17.299999,16.9,36.43,23.59,38,10,4.727,1
19.574999,20.215,20.5,20.139999,14.1,38.169998,26.01,34,9,4.378,0
19.629999,20.215,20.5,20.299999,14.1,38.09,26.049999,35.5,11,5.328,1
19.65,21.695,21.5,17.539999,13.1,38.57,22.99,40,12,5.312,1
19.66,20.275,20.5,20.32,15.1,37.700001,25.84,37,12,4.694,1
19.695,22.449999,21.5,17.74,19.9,36.93,23.639999,38,10,4.202,1
19.699999,20.324999,20.5,20.359999,15.1,37.290001,25.029999,35.5,8,5.112,0
19.709999,22.57,21.5,17.52,24.299999,33.899998,22.779999,30,12,4.956,1
19.709999,22.42,21.5,17.4,16.9,36.639999,23.799999,38,11,5.438,1
19.715,22.639999,21.5,17.279999,18.9,35.860001,23.35,39.5,8,4.294,0
19.76,20.404999,20.5,20.379999,15.1,36.700001,24.6,34,10,4.823,1
19.799999,20.559999,21.5,20.34,15.1,36.32,24.26,38.5,11,4.199,0
19.824999,22.26,21.5,18.5,18.9,36.66,24.019999,38,11,4.932,0
19.85,22.629999,21.5,18.059999,17.799999,36.290001,23.059999,41,11,4.268,0
19.859999,22.309999,21.5,17.58,24.299999,34.110001,22.959999,31,12,4.932,0
19.889999,20.799999,21.5,20.119999,16.1,35.73,23.859999,43,12,5.287,1
19.93,22.809999,21.5,18.08,22.1,33.860001,21.76,41,13,5.028,0
19.959999,22.93,21.5,18.58,23.299999,33.09,22.049999,29,12,5.04,1
19.969999,21.09,21.5,19.879999,17.1,35.169998,23.51,40,8,4.482,1
20.074999,22.639999,21.5,17.84,24.299999,33.899998,22.699999,29,13,4.968,0
20.08,21.605,21.5,18.219999,13.1,35.889999,21.82,45,9,4.328,1
20.084999,22.699999,21.5,18.68,24.299999,33.399998,22.24,29,14,5.064,1
20.094999,21.619999,21.5,18.18,12.1,33.5,21.029999,50,10,5.208,0
20.129999,22.639999,21.5,18.42,22.1,33.73,21.789999,33,12,5.016,1
20.17,23.129999,21.5,17.92,23.299999,32.630001,21.639999,30,12,5.016,0
20.219999,21.654999,21.5,19.539999,18.1,33.84,22.779999,37,9,5.244,0
20.225,23.074999,21.5,18.719999,23.299999,32.91,21.91,29,12,4.944,0
20.24,23.094999,21.5,18.699999,24.299999,33.110001,21.789999,29,13,5.04,1
20.25,21.645,21.5,18.02,11.1,31.689999,20.73,53.5,12,4.949,1
20.275,22.699999,21.5,18.5,22.1,33.549999,21.92,41,12,5.004,1
20.285,22.65,21.5,18.539999,22.1,33.759998,21.869999,37,13,5.04,0
20.344999,22.609999,21.5,18.18,21.1,33.5,21.91,35.5,13,4.968,1
20.379999,23.139999,21.5,18.379999,22.1,32.809998,21.32,31,12,4.992,1
20.389999,22.84,21.5,18.440001,24.1,32.919998,21.889999,33,12,4.98,0
20.42,21.494999,21.5,16.879999,11.1,31.629999,21.09,43,10,4.895,1
20.434999,22.559999,21.5,18.219999,21.1,33.66,21.949999,38,12,4.848,0
20.48,22.484999,21.5,18.279999,19.1,33.040001,22.01,37.5,12,4.884,1
20.525,22.969999,21.5,18.459999,24.1,32.849998,21.85,32,13,5.04,1
20.574999,23.119999,21.5,18.32,23.1,32.700001,21.6,29,13,4.98,0
20.594999,23.164999,21.5,18.639999,23.1,32.27,21.469999,29,12,4.992,1
20.645,22.93,21.5,18.459999,23.1,32.369999,21.619999,37,12,5.004,1
20.664999,23.109999,21.5,18.82,24.1,32.959999,21.629999,31,12,4.992,0
20.914999,21.365,21.5,17.32,10.1,32.299999,21.65,43,8,5.233,1
21.004999,21.254999,20.5,17.779999,9.1,30.65,22.07,49,11,4.864,1
21.025,21.615,21.5,17.779999,11.1,30.449999,20.719999,57,8,5.134,0
21.055,23.109999,21.5,18.799999,22.1,32.369999,21.6,27,13,5.064,1
21.184999,21.314999,20.5,17.76,9.1,30.519999,22.43,54.5,8,4.991,0
21.205,21.555,21.5,18.119999,10.1,30.709999,20.92,53,10,4.173,1
21.279999,21.555,21.5,17.779999,11.1,29.859999,20.789999,55,11,4.093,1
21.314999,21.545,21.5,17.799999,10.1,30.57,20.99,51.5,9,5.457,0
21.334999,21.445,20.5,18.440001,10.1,30.849998,24.699999,60,10,4.977,0
21.34,22.699999,21.5,18.92,21.1,32.200001,21.799999,41,14,4.944,1
21.369999,21.215,20.5,17.940001,9.1,30.189999,21.869999,47.5,9,5.16,0
21.41,21.355,20.5,18.32,10.1,31.059999,23.67,60,9,4.839,1
21.5,21.385,21.5,17.82,10.1,31,21.65,46.5,12,4.238,0
21.664999,21.334999,20.5,18.26,9.1,30.129999,22.92,60,12,4.712,1
21.764999,21.494999,21.5,18,11.1,30.219999,21.189999,50,11,4.532,1
22.23,21.219999,20.5,17.74,10.1,29.559999,21.629999,46,10,4.486,1
22.504999,21.305,20.5,17.66,9.1,29.389999,21.32,51.5,8,5.228,1
23.119999,21.42,20.5,17.559999,10.1,28.219999,20.859999,57,12,4.091,0
23.465,21.654999,21.5,17.959999,10.1,29.01,20.85,43,9,5.242,0
23.785,21.605,21.5,18.08,11.1,28.289999,20.559999,50,11,4.205,1
